date,MSFT.Open,MSFT.High,MSFT.Low,MSFT.Close,MSFT.Volume,MSFT.Adjusted,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,,
1/15/21,213.520004,214.509995,212.029999,212.649994,31746500,209.95813,128.779999,130.220001,127,127.139999,111598500,126.015068,,
1/19/21,213.75,216.979996,212.630005,216.440002,30480900,213.700195,127.779999,128.710007,126.940002,127.830002,90757300,126.698967,,
1/20/21,217.699997,225.789993,217.289993,224.339996,37777300,221.500183,128.660004,132.490005,128.550003,132.029999,104319500,130.861816,,
1/21/21,224.699997,226.300003,222.419998,224.970001,30709400,222.122208,133.800003,139.669998,133.589996,136.869995,120150900,135.658997,,
1/22/21,227.080002,230.070007,225.800003,225.949997,30172700,223.089798,136.279999,139.850006,135.020004,139.070007,114459400,137.839539,,
1/25/21,229.119995,229.779999,224.220001,229.529999,33152100,226.624466,143.070007,145.089996,136.539993,142.919998,157611700,141.655457,,
1/26/21,231.860001,234.179993,230.080002,232.330002,49169600,229.389038,143.600006,144.300003,141.369995,143.160004,98390600,141.893341,,
1/27/21,238,240.440002,230.139999,232.899994,69870600,229.951843,143.429993,144.300003,140.410004,142.059998,140843800,140.80307,,
1/28/21,235.610001,242.639999,235.089996,238.929993,49111200,235.905472,139.520004,141.990005,136.699997,137.089996,142621100,135.877029,,
1/29/21,235.990005,238.020004,231.350006,231.960007,42503100,229.023727,135.830002,136.740005,130.210007,131.960007,177523800,130.792435,,
2/1/21,235.059998,242.5,232.429993,239.649994,33314200,236.616364,133.75,135.380005,130.929993,134.139999,106239800,132.95314,,
2/2/21,241.300003,242.309998,238.690002,239.509995,25916300,236.478149,135.729996,136.309998,134.610001,134.990005,83305400,133.795639,,
2/3/21,239.570007,245.089996,239.259995,243,27158100,239.923981,135.759995,135.770004,133.610001,133.940002,89880900,132.754929,,
2/4/21,242.660004,243.240005,240.369995,242.009995,25296100,238.946487,136.300003,137.399994,134.589996,137.389999,84183100,136.174377,,
2/5/21,242.229996,243.279999,240.419998,242.199997,18054800,239.134094,137.350006,137.419998,135.860001,136.759995,75693800,135.752487,,
2/8/21,243.149994,243.679993,240.809998,242.470001,22211900,239.400665,136.029999,136.960007,134.919998,136.910004,71297200,135.901413,,
2/9/21,241.869995,244.759995,241.380005,243.770004,23565000,240.684219,136.619995,137.880005,135.850006,136.009995,76774200,135.008041,,
2/10/21,245,245.919998,240.889999,242.820007,22186700,239.746262,136.479996,136.990005,134.399994,135.389999,73046600,134.392609,,
2/11/21,244.779999,245.149994,242.149994,244.490005,15751100,241.395126,135.899994,136.389999,133.770004,135.130005,64280000,134.134506,,
2/12/21,243.929993,245.300003,242.729996,244.990005,16561100,241.888794,134.350006,135.529999,133.690002,135.369995,60145100,134.372757,,
2/16/21,245.029999,246.130005,242.919998,243.699997,26728500,240.615112,135.490005,136.009995,132.789993,133.190002,80576300,132.208801,,
2/17/21,241.320007,244.309998,240.940002,244.199997,21653500,241.664093,131.25,132.220001,129.470001,130.839996,97918500,129.876114,,
2/18/21,241.800003,243.929993,240.860001,243.789993,16925600,241.258347,129.199997,130,127.410004,129.710007,96856700,128.754456,,
2/19/21,243.75,243.860001,240.179993,240.970001,25262600,238.467636,130.240005,130.710007,128.800003,129.869995,87668800,128.913254,,
2/22/21,237.419998,237.929993,232.399994,234.509995,36446900,232.074738,128.009995,129.720001,125.599998,126,103916400,125.071777,,
2/23/21,230.330002,234.830002,228.729996,233.270004,30228700,230.84761,123.760002,126.709999,118.389999,125.860001,158273000,124.932816,,
2/24/21,230.009995,235.199997,229,234.550003,26339700,232.114319,124.940002,125.559998,122.230003,125.349998,111039900,124.426567,,
2/25/21,232.080002,234.589996,227.880005,228.990005,39542200,226.612045,124.68,126.459999,120.540001,120.989998,148199500,120.098686,,
2/26/21,231.529999,235.369995,229.539993,232.380005,37819200,229.966843,122.589996,124.849998,121.199997,121.260002,164560400,120.366699,,
3/1/21,235.899994,237.470001,233.149994,236.940002,25324000,234.479492,123.75,127.93,122.790001,127.790001,116307900,126.848602,,
3/2/21,237.009995,237.300003,233.449997,233.869995,22812500,231.441376,128.410004,128.720001,125.010002,125.120003,102260900,124.198265,,
3/3/21,232.160004,233.580002,227.259995,227.559998,34029500,225.196899,124.809998,125.709999,121.839996,122.059998,112966300,121.160797,,
3/4/21,226.740005,232.490005,224.259995,226.729996,44727800,224.375504,121.75,123.599998,118.620003,120.129997,178155000,119.245026,,
